impacto_presupuestario_anio,ejercicio_presupuestario,sector_id,sector_desc,subsector_id,subsector_desc,caracter_id,caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,finalidad_id,finalidad_desc,funcion_id,funcion_desc,inciso_id,inciso_desc,principal_id,principal_desc,parcial_id,parcial_desc,subparcial_id,subparcial_desc,clasificador_economico_8_digitos_id,clasificador_economico_8_digitos_desc,fuente_financiamiento_id,fuente_financiamiento_desc,ubicacion_geografica_id,ubicacion_geografica_desc,unidad_ejecutora_id,unidad_ejecutora_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,ultima_actualizacion_fecha
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,1,Personal Permanente,1,Retribución del Cargo,0,Retribución del Cargo,21211000,Sueldos y Salarios,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,2.681146,2.681146,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,1,Personal Permanente,3,Retribuciones que no hacen al Cargo,0,Retribuciones que no hacen al Cargo,21211000,Sueldos y Salarios,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,1.25777,1.25777,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,1,Personal Permanente,4,Sueldo Anual Complementario,0,Sueldo Anual Complementario,21211000,Sueldos y Salarios,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,0.328243,0.328243,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,1,Personal Permanente,6,Contribuciones Patronales,0,Contribuciones Patronales,21212000,Contribuciones Patronales,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,1.144966,1.144966,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,1,Personal Permanente,7,Complementos,0,Complementos,21211000,Sueldos y Salarios,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,0.025849,0.025849,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,1,Asignaciones Familiares,0,Asignaciones Familiares,3,SERVICIOS SOCIALES,3,Seguridad Social,1,Gastos en Personal,4,Asignaciones Familiares,0,Asignaciones Familiares,0,Asignaciones Familiares,21213000,Prestaciones Sociales,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,0.036,0.036,0,0,0,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,3,SERVICIOS SOCIALES,3,Seguridad Social,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,4,Ayudas Sociales a Personas,0,Ayudas Sociales a Personas,21711000,A Unidades Familiares,1.2,Recursos Propios,2,Capital Federal - Ciudad de Buenos Aires,127,Gerencia de Asignaciones Familiares,1859.424878,3020.424878,5080.01903582,5080.01724992,5078.28249319,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,3,SERVICIOS SOCIALES,3,Seguridad Social,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,4,Ayudas Sociales a Personas,0,Ayudas Sociales a Personas,21711000,A Unidades Familiares,1.2,Recursos Propios,6,Provincia de Buenos Aires,127,Gerencia de Asignaciones Familiares,3835.022328,3286.022328,1054.01192513,1003.65467392,1003.62159892,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,3,SERVICIOS SOCIALES,3,Seguridad Social,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,4,Ayudas Sociales a Personas,0,Ayudas Sociales a Personas,21711000,A Unidades Familiares,1.2,Recursos Propios,10,Provincia de Catamarca,127,Gerencia de Asignaciones Familiares,20.907545,20.907545,1.60456605,1.60456605,1.60456605,2011-08-12 00:00:00
2009,2009,1,Sector Público Nacional no Financiero,1,Administración Nacional,3,Instituciones de Seguridad Social,75,"Ministerio de Trabajo, Empleo y Seguridad Social",0,"Ministerio de Trabajo, Empleo y Seguridad Social",850,Administración Nacional de la Seguridad Social,850,ADMINISTRACION NACIONAL DE LA SEG. SOCIAL,19,Asignaciones Familiares,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,1,Asignaciones Familiares Activos,0,Asignaciones Familiares Activos,3,SERVICIOS SOCIALES,3,Seguridad Social,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,4,Ayudas Sociales a Personas,0,Ayudas Sociales a Personas,21711000,A Unidades Familiares,1.2,Recursos Propios,14,Provincia de Córdoba,127,Gerencia de Asignaciones Familiares,362.291667,362.291667,19.57726719,19.57726719,19.57726719,2011-08-12 00:00:00
